Designator,Mid X,Mid Y,Rotation,Layer
C1,223.8,-134.15,90.0,top
C10,126.4,-124.3,270.0,top
C11,126.4,-126.9,90.0,top
C12,258.5,-122.25,90.0,top
C13,78.25,-81.249999,180.0,top
C14,73.25,-81.249999,180.0,top
C15,68.28409,-81.20659,180.0,top
C16,63.25,-81.25,180.0,top
C17,57.5,-81.249999,180.0,top
C18,52.5,-81.249999,180.0,top
C19,47.53409,-81.20659,180.0,top
C2,221.5,-95.75,270.0,top
C20,42.5,-81.25,180.0,top
C21,99.0,-81.249999,180.0,top
C22,94.0,-81.249999,180.0,top
C23,89.03409,-81.20659,180.0,top
C24,84.0,-81.25,180.0,top
C25,119.75,-81.249999,180.0,top
C26,114.75,-81.249999,180.0,top
C27,109.78409,-81.20659,180.0,top
C28,104.75,-81.25,180.0,top
C29,140.5,-81.249999,180.0,top
C3,225.4,-134.15,90.0,top
C30,135.5,-81.249999,180.0,top
C31,130.53409,-81.20659,180.0,top
C32,125.5,-81.25,180.0,top
C33,161.25,-81.249999,180.0,top
C34,156.25,-81.249999,180.0,top
C35,151.28409,-81.20659,180.0,top
C36,146.25,-81.25,180.0,top
C37,182.0,-81.249999,180.0,top
C38,177.0,-81.249999,180.0,top
C39,172.03409,-81.20659,180.0,top
C4,219.5,-98.5,90.0,top
C40,167.0,-81.25,180.0,top
C41,202.75,-81.249999,180.0,top
C42,197.75,-81.249999,180.0,top
C43,192.78409,-81.20659,180.0,top
C44,187.75,-81.25,180.0,top
C45,251.000001,-77.75,90.0,top
C46,260.0,-77.770001,90.0,top
C47,163.25,-118.0,180.0,top
C48,164.0,-115.750001,180.0,top
C49,164.250001,-112.75,180.0,top
C5,219.5,-95.75,270.0,top
C50,163.5,-111.0,180.0,top
C51,172.25,-112.75,90.0,top
C52,62.25,-115.5,270.0,top
C53,50.25,-115.5,270.0,top
C54,61.749999,-120.5,270.0,top
C55,49.5,-120.5,270.0,top
C56,61.5,-125.75,270.0,top
C57,55.25,-126.5,180.0,top
C58,59.5,-125.25,270.0,top
C59,58.0,-121.0,0.0,top
C6,245.2,-99.75,90.0,top
C60,58.75,-119.0,0.0,top
C61,55.0,-119.0,180.0,top
C62,52.75,-122.0,90.0,top
C63,58.0,-127.750001,270.0,top
C64,202.27,-114.5,90.0,top
C7,247.0,-99.75,90.0,top
C8,221.0,-91.5,0.0,top
C9,221.0,-93.0,0.0,top
D1,161.0,-138.75,90.0,top
D10,78.24341,-82.98409,180.0,top
D11,73.25,-83.0,180.0,top
D12,68.25,-83.0,180.0,top
D13,63.24341,-82.98409,180.0,top
D14,78.249999,-79.5,0.0,top
D15,73.25,-79.500001,0.0,top
D16,68.25,-79.5,0.0,top
D17,63.25,-79.5,0.0,top
D18,55.0,-74.52,90.0,top
D19,45.0,-74.52,90.0,top
D2,119.5,-139.0,90.0,top
D20,57.49341,-82.98409,180.0,top
D21,52.5,-83.0,180.0,top
D22,47.5,-83.0,180.0,top
D23,42.49341,-82.98409,180.0,top
D24,57.499999,-79.5,0.0,top
D25,52.5,-79.500001,0.0,top
D26,47.5,-79.5,0.0,top
D27,42.5,-79.5,0.0,top
D28,96.5,-74.52,90.0,top
D29,86.5,-74.52,90.0,top
D3,128.67,-125.060569,180.0,top
D30,98.99341,-82.98409,180.0,top
D31,94.0,-83.0,180.0,top
D32,89.0,-83.0,180.0,top
D33,83.99341,-82.98409,180.0,top
D34,98.999999,-79.5,0.0,top
D35,94.0,-79.500001,0.0,top
D36,89.0,-79.5,0.0,top
D37,84.0,-79.5,0.0,top
D38,117.25,-74.52,90.0,top
D39,107.25,-74.52,90.0,top
D4,255.75,-122.25,90.0,top
D40,119.74341,-82.98409,180.0,top
D41,114.75,-83.0,180.0,top
D42,109.75,-83.0,180.0,top
D43,104.74341,-82.98409,180.0,top
D44,119.749999,-79.5,0.0,top
D45,114.75,-79.500001,0.0,top
D46,109.75,-79.5,0.0,top
D47,104.75,-79.5,0.0,top
D48,138.0,-74.52,90.0,top
D49,128.0,-74.52,90.0,top
D5,153.77,-128.3359,180.0,top
D50,140.49341,-82.98409,180.0,top
D51,135.5,-83.0,180.0,top
D52,130.5,-83.0,180.0,top
D53,125.49341,-82.98409,180.0,top
D54,140.499999,-79.5,0.0,top
D55,135.5,-79.500001,0.0,top
D56,130.5,-79.5,0.0,top
D57,125.5,-79.5,0.0,top
D58,158.75,-74.52,90.0,top
D59,148.75,-74.52,90.0,top
D6,243.98,-137.75,0.0,top
D60,161.24341,-82.98409,180.0,top
D61,156.25,-83.0,180.0,top
D62,151.25,-83.0,180.0,top
D63,146.24341,-82.98409,180.0,top
D64,161.249999,-79.5,0.0,top
D65,156.25,-79.500001,0.0,top
D66,151.25,-79.5,0.0,top
D67,146.25,-79.5,0.0,top
D68,179.5,-74.52,90.0,top
D69,169.5,-74.52,90.0,top
D7,136.971339,-138.75,90.0,top
D70,181.99341,-82.98409,180.0,top
D71,177.0,-83.0,180.0,top
D72,172.0,-83.0,180.0,top
D73,166.99341,-82.98409,180.0,top
D74,181.999999,-79.5,0.0,top
D75,177.0,-79.500001,0.0,top
D76,172.0,-79.5,0.0,top
D77,167.0,-79.5,0.0,top
D78,200.25,-74.52,90.0,top
D79,190.25,-74.52,90.0,top
D8,75.75,-74.52,90.0,top
D80,202.74341,-82.98409,180.0,top
D81,197.75,-83.0,180.0,top
D82,192.75,-83.0,180.0,top
D83,187.74341,-82.98409,180.0,top
D84,202.749999,-79.5,0.0,top
D85,197.75,-79.500001,0.0,top
D86,192.75,-79.5,0.0,top
D87,187.75,-79.5,0.0,top
D88,255.250001,-65.303401,270.0,top
D89,264.25,-65.29,270.0,top
D9,65.75,-74.52,90.0,top
D90,209.5,-74.52,90.0,top
D91,208.95,-73.25,0.0,top
D92,212.1775,-73.24068,180.0,top
D93,208.9775,-75.24068,180.0,top
D94,212.2,-75.25,0.0,top
D95,59.0,-126.597248,270.0,top
D96,185.5,-121.0,270.0,top
D97,208.0,-126.25,180.0,top
J1,149.0,-143.75,180.0,top
J10,195.25,-51.25,0.0,top
J11,258.25,-51.25,0.0,top
J12,216.0,-51.25,0.0,top
J13,58.0,-143.75,90.0,top
J14,208.0,-135.75,180.0,top
J15,184.5,-135.75,180.0,top
J2,258.25,-134.5,0.0,top
J3,70.75,-51.25,0.0,top
J4,50.0,-51.25,0.0,top
J5,91.5,-51.25,0.0,top
J6,112.25,-51.25,0.0,top
J7,133.0,-51.25,0.0,top
J8,153.75,-51.25,0.0,top
J9,174.5,-51.25,0.0,top
R1,161.0,-135.75,90.0,top
R100,146.75,-84.5,180.0,top
R101,160.25,-78.0,0.0,top
R102,155.25,-78.0,0.0,top
R103,150.25,-78.0,0.0,top
R104,145.25,-78.0,0.0,top
R105,183.0,-78.0,180.0,top
R107,178.0,-78.0,180.0,top
R109,173.0,-78.0,180.0,top
R11,74.25,-78.0,180.0,top
R111,168.0,-78.0,180.0,top
R113,182.499999,-84.5,180.0,top
R114,177.5,-84.5,180.0,top
R115,172.5,-84.5,180.0,top
R116,167.5,-84.5,180.0,top
R117,181.0,-78.0,0.0,top
R118,176.0,-78.0,0.0,top
R119,171.0,-78.0,0.0,top
R120,166.0,-78.0,0.0,top
R121,203.75,-78.0,180.0,top
R123,198.75,-78.0,180.0,top
R125,193.75,-78.0,180.0,top
R127,188.75,-78.0,180.0,top
R129,203.249999,-84.5,180.0,top
R13,69.25,-78.0,180.0,top
R130,198.25,-84.5,180.0,top
R131,193.25,-84.5,180.0,top
R132,188.25,-84.5,180.0,top
R133,201.75,-78.0,0.0,top
R134,196.75,-78.0,0.0,top
R135,191.75,-78.0,0.0,top
R136,186.75,-78.0,0.0,top
R137,253.750001,-84.75,270.0,top
R138,254.750001,-84.75,90.0,top
R139,262.75,-84.5,270.0,top
R140,263.75,-84.5,90.0,top
R141,256.000001,-73.5,0.0,top
R142,252.500001,-73.5,0.0,top
R143,264.999999,-73.5,0.0,top
R144,261.500001,-73.5,0.0,top
R145,209.45,-76.75,180.0,top
R146,211.7,-76.75,0.0,top
R147,207.95,-77.25,270.0,top
R148,213.2,-77.25,270.0,top
R149,61.75,-118.5,0.0,top
